ID	Marine	Freshwater	Terrestrialr
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|Nanopelagicaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|S36-B12	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|UBA10799	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|UBA12327	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|UBA5976	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nitriliruptorales|Nitriliruptoraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Actinopolymorphaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Kribbellaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Nocardioidaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Propionibacteriales|Propionibacteriaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Sporichthyales|Sporichthyaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Streptomycetales|Carbonactinosporaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Streptomycetales|Catenulisporaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Streptomycetales|Streptomycetaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|Streptosporangiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Streptosporangiales|WHST01	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|Aquicultorales|Aquicultoraceae	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|Geothermocultorales|Geothermocultoraceae	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|Subteraquimicrobiales|Subteraquimicrobiaceae	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|Subteraquimicrobiales|UBA9087	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|SURF-47|SURF-47	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|UBA3085|JACQXZ01	1	1	1
Bacteria|Actinobacteriota|Aquicultoria|UBA3085|Oleimmundimicrobiaceae	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|CADBOM01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Eggerthellaceae	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|QAMH01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|RUG033	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|RUG844	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|UBA8131	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|UMGS124	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|D1FN1-002	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|JAAXUF01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|JACRBU01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|JAENZW01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|Kmv31	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|PALSA-660	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|PHET01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|SLCP01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|UBA2279	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|UBA3086	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|UBA912	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|WRKU01|JAENWW01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|WRKU01|WQUG01	1	1	1
Bacteria|Actinobacteriota|Coriobacteriia|WRKU01|WRKU01	1	1	1
Bacteria|Actinobacteriota|Geothermincolia|Fen-727|Anoxymicrobiaceae	1	1	1
Bacteria|Actinobacteriota|Geothermincolia|Fen-727|JACVIW01	1	1	1
Bacteria|Actinobacteriota|Geothermincolia|Geothermincolales|Geothermincolaceae	1	1	1
Bacteria|Actinobacteriota|Geothermincolia|Geothermincolales|RBG-13-55-18	1	1	1
Bacteria|Actinobacteriota|Humimicrobiia|Hakubanellales|Hakubanellaceae	1	1	1
Bacteria|Actinobacteriota|Humimicrobiia|Humimicrobiales|Humimicrobiaceae	1	1	1
Bacteria|Actinobacteriota|Humimicrobiia|JAHJRV01|JAHJRV01	1	1	1
Bacteria|Actinobacteriota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|BMS3ABIN01|BMS3ABIN01	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|F1-60-MAGs149	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|SKUG01	1	1	1
Bacteria|Actinobacteriota|Thermoleophilia|Miltoncostaeales|Miltoncostaeaceae	1	1	1
