ID	niches
3300027819_75	Freshwater
3300027835_66	Freshwater
3300017505_17	Freshwater
anoxic_mOTU_1123	Freshwater
3300027749_59	Freshwater
anoxic_mOTU_0481	Freshwater
3300018013_17	Freshwater
3300018024_20	Freshwater
3300018025_16	Freshwater
3300025477_10	Freshwater
3300027743_11	Freshwater
3300007519_74	Freshwater
3300027983_36	Freshwater
3300027832_63	Freshwater
3300021091_44	Freshwater
3300020204_42	Freshwater
3300021093_37	Freshwater
3300013014_28	Freshwater
3300017788_57	Freshwater
3300007519_17	Freshwater
3300027832_15	Freshwater
3300027976_18	Freshwater
3300007722_7	Freshwater
3300017788_66	Freshwater
3300020196_45	Freshwater
3300020220_81	Freshwater
3300020603_72	Freshwater
3300021376_47	Freshwater
3300013005_49	Freshwater
anoxic_mOTU_2374	Freshwater
3300022752_37	Freshwater
anoxic_mOTU_0973	Freshwater
anoxic_mOTU_0807	Freshwater
anoxic_mOTU_0853	Freshwater
3300017505_23	Freshwater
3300020193_40	Freshwater
3300027153_7	Freshwater
3300013132_94	Freshwater
3300014720_50	Freshwater
3300017453_13	Freshwater
3300020083_49	Freshwater
3300020179_47	Freshwater
3300020196_48	Freshwater
3300020198_52	Freshwater
3300020200_50	Freshwater
3300020222_65	Freshwater
3300020603_69	Freshwater
anoxic_mOTU_1679	Freshwater
3300007519_15	Freshwater
3300027848_57	Freshwater
3300007519_49	Freshwater
3300027832_43	Freshwater
3300027848_40	Freshwater
3300024354_8	Freshwater
3300024502_7	Freshwater
3300024507_4	Freshwater
3300027503_13	Freshwater
3300028275_5	Freshwater
3300013132_89	Freshwater
3300017788_71	Freshwater
3300020183_53	Freshwater
3300027300_6	Freshwater
3300027760_43	Freshwater
3300020203_17	Freshwater
3300010160_29	Freshwater
3300027760_16	Freshwater
3300013132_66	Freshwater
3300017788_52	Freshwater
3300015360_85	Freshwater
3300029818_6	Freshwater
anoxic_mOTU_0049	Freshwater
anoxic_mOTU_1519	Freshwater
3300027823_33	Freshwater
3300027850_47	Freshwater
3300027823_48	Freshwater
3300015370_45	Freshwater
anoxic_mOTU_3405	Freshwater
3300028032_26	Freshwater
3300013133_59	Freshwater
anoxic_mOTU_0220	Freshwater
3300014656_18	Freshwater
anoxic_mOTU_2578	Freshwater
3300024956_5	Freshwater
3300024952_1	Freshwater
3300024974_4	Freshwater
3300024950_3	Freshwater
3300024979_5	Freshwater
3300025428_8	Freshwater
3300025449_1	Freshwater
3300009084_96	Freshwater
